"Time-Body-Acceleration-Magnitude-Mean"	"Time-Body-Acceleration-Magnitude-Stdv"	"Time-Gravity-Acceleration-Magnitude-Mean"	"Time-Gravity-Acceleration-Magnitude-Stdv"	"Time-Body-Acceleration-JerkSignal-Mean"	"Time-Body-Acceleration-JerkSignal-Stdv"	"Time-Body-Gyroscope-Magnitude-Mean"	"Time-Body-Gyroscope-Magnitude-Stdv"	"Time-Body-Gyroscope-Jerk-Magnitude-Mean"	"Time-Body-Gyroscope-Jerk-Magnitude-Stdv"	"Frequency-Body-Acceleration-Magnitude-Mean"	"Frequency-Body-Acceleration-Magnitude-Stdv"	"Frequency-Body-Acceleration-Jerk-Magnitude-Mean"	"Frequency-Body-Acceleration-Jerk-Magnitude-Stdv"	"Frequency-Gyroscope-Magnitude-Mean"	"Frequency-Gyroscope-Magnitude-Stdv"	"Frequency-Gyroscope-Jerk-Magnitude-Mean"	"Frequency-Gyroscope-Jerk-Magnitude-Stdv"	"Identifier"
"17"	-0.568367244093859	-0.636074477703533	-0.568367244093859	-0.636074477703533	-0.696465197235054	-0.693946394750815	-0.676185123284103	-0.750145260967391	-0.810438232853261	-0.825255969701087	-0.646189154826902	-0.687536943227717	-0.697575558993207	-0.692595778979891	-0.769498551467391	-0.782232494673913	-0.829124468315217	-0.833701023152174	"Subject 17"
"18"	-0.658370952115385	-0.689671890376374	-0.658370952115385	-0.689671890376374	-0.753904676895604	-0.745212812708791	-0.714735668626374	-0.775779058758242	-0.859899942335165	-0.88856533728022	-0.697732862178571	-0.733904051236264	-0.742323821887363	-0.750189976318681	-0.816286626730769	-0.789777674554945	-0.88466302260989	-0.902206780607143	"Subject 18"
"19"	-0.531507362111361	-0.599552767486306	-0.531507362111361	-0.599552767486306	-0.5762252472125	-0.601918552871944	-0.548919668132222	-0.610093380740278	-0.683436541824444	-0.7255986988425	-0.556404444967972	-0.689860920113889	-0.576064647812278	-0.641089005857778	-0.636287999799167	-0.662325968145833	-0.719519008752778	-0.754223739441667	"Subject 19"
"20"	-0.517257429345412	-0.572325820319209	-0.517257429345412	-0.572325820319209	-0.619698756735028	-0.588644307467599	-0.516861235888701	-0.580023613494576	-0.684048497355932	-0.683503744537853	-0.560278889421186	-0.648306198707062	-0.584571446817062	-0.597351046813729	-0.606970915061638	-0.635816314618644	-0.692638075749774	-0.694680032329943	"Subject 20"
"21"	-0.620309259553676	-0.6601960145	-0.620309259553676	-0.6601960145	-0.703461275879657	-0.680069218953922	-0.693779224517157	-0.761303119652451	-0.807817403137255	-0.82408989995098	-0.658664719514706	-0.714345739215931	-0.679742584809363	-0.683725127418382	-0.776473060171569	-0.793158526279412	-0.826275026053922	-0.834949863259804	"Subject 21"
"22"	-0.504099198287601	-0.595953853592586	-0.504099198287601	-0.595953853592586	-0.609772829890966	-0.589823140414673	-0.637666108456075	-0.67637856158162	-0.794681311214953	-0.82649344800623	-0.574333164853583	-0.673896212809346	-0.585442501515888	-0.599286879114019	-0.728166770031153	-0.699600086233645	-0.830191956697819	-0.835597218255452	"Subject 22"
"23"	-0.532754757205108	-0.56557562579215	-0.532754757205108	-0.56557562579215	-0.58640067170914	-0.55872531418629	-0.544207964433387	-0.541949073660753	-0.623412641977151	-0.573942888021613	-0.529029284118011	-0.657048917971505	-0.542663319457527	-0.583832309145968	-0.534657191683602	-0.632288527203763	-0.584111049810215	-0.593735302105376	"Subject 23"
"24"	-0.620032665162467	-0.650862147810236	-0.620032665162467	-0.650862147810236	-0.713667423769029	-0.689391189346457	-0.682447212750656	-0.742983126606299	-0.791646550787402	-0.788997850813648	-0.650121872273806	-0.705928425819685	-0.696845583388451	-0.682447145993307	-0.754131617480315	-0.782076276167979	-0.795019165380577	-0.796157264514436	"Subject 24"
"25"	-0.583377749713936	-0.659015505611247	-0.583377749713936	-0.659015505611247	-0.783445354474328	-0.780451867848411	-0.625733064258924	-0.68515279467066	-0.849630706259169	-0.872776184449878	-0.69501971	-0.695367928718826	-0.779190075892421	-0.783547229755501	-0.754236109755501	-0.697213120366748	-0.875970674743276	-0.877714953691932	"Subject 25"
"26"	-0.600932264175765	-0.620355788665816	-0.600932264175765	-0.620355788665816	-0.694917859209184	-0.677426336392347	-0.694597662936224	-0.751833690215051	-0.798325916709184	-0.818279112908163	-0.6317569828625	-0.673917799546684	-0.679278323637755	-0.678025758312755	-0.770504884821429	-0.782624320831633	-0.823865297193878	-0.823991408418367	"Subject 26"
"27"	-0.627947737417819	-0.677874152031915	-0.627947737417819	-0.677874152031915	-0.70180744799867	-0.696003354282979	-0.694016019806117	-0.754713306440957	-0.823067662473404	-0.837212879564096	-0.667185803946808	-0.734883056953989	-0.688572791044947	-0.707531366315426	-0.785953610106383	-0.777810418832447	-0.837585999827128	-0.848260021656915	"Subject 27"
"28"	-0.610030902501309	-0.635821226515969	-0.610030902501309	-0.635821226515969	-0.689429387759162	-0.687703433627487	-0.648538641430367	-0.710956808836911	-0.78929494326178	-0.805738383010471	-0.628763247405236	-0.696993999667801	-0.675428720467801	-0.706415829342932	-0.73790809206911	-0.743784612693717	-0.806882151753927	-0.818448508376963	"Subject 28"
"29"	-0.553585593347965	-0.579067216088081	-0.553585593347965	-0.579067216088081	-0.664538060484884	-0.620472049862791	-0.602228993700349	-0.653732301592151	-0.802293906366279	-0.840156364186047	-0.589294014734302	-0.639314176054942	-0.609879937469099	-0.636434470547384	-0.722018434984302	-0.671454324368401	-0.840464164156977	-0.851462426569767	"Subject 29"
"30"	-0.538131194183003	-0.588158111633681	-0.538131194183003	-0.588158111633681	-0.697050126998956	-0.658972148093473	-0.510032754098198	-0.573779428671018	-0.785870931331593	-0.810398514673629	-0.600372067046214	-0.646522810920757	-0.656339723754047	-0.664600262443812	-0.669600510563003	-0.589192650089817	-0.811292332428198	-0.822805618746736	"Subject 30"
"31"	-0.167937853979757	-0.33775398556687	-0.167937853979757	-0.33775398556687	-0.241451989838379	-0.214555894362491	-0.274866019270244	-0.382629015979094	-0.460511516745528	-0.498841024689745	-0.275558097404657	-0.480002278144599	-0.214653971925401	-0.221617770280105	-0.409173038476359	-0.47383309359518	-0.515516844208937	-0.514404823691173	"WALKING"
"32"	-0.100204123946392	-0.249875157023391	-0.100204123946392	-0.249875157023391	-0.390938624541516	-0.385400351575259	-0.178281147518361	-0.337142124176179	-0.608047148013666	-0.666836734071891	-0.26202811322658	-0.361753456901554	-0.353961999926425	-0.434206731972435	-0.449781382648834	-0.381406363802979	-0.658694456439443	-0.703083532121114	"WALKING_UPSTAIRS"
"33"	0.101249699851558	0.116488914352198	0.101249699851558	0.116488914352198	-0.111801821250135	-0.011220665881458	-0.129785639782795	-0.251427800988919	-0.416891551237909	-0.440929331631124	0.142849426284481	-0.0754251669550853	0.00476245916278094	-0.0422714225290824	-0.289525832505356	-0.361230992213905	-0.438007290282333	-0.486442976081671	"WALKING_DOWNSTAIRS"
"34"	-0.95464392144063	-0.939324188353517	-0.95464392144063	-0.939324188353517	-0.98244444337085	-0.978907079240293	-0.946724138930782	-0.951199015615082	-0.987880071435003	-0.98460762855937	-0.952410413225098	-0.942000150701182	-0.978684370388295	-0.978154770658413	-0.964296113911086	-0.951641735873945	-0.985335632976927	-0.984491355740011	"SITTING"
"35"	-0.954179661789087	-0.946534779481637	-0.954179661789087	-0.946534779481637	-0.97711802452256	-0.971452977271773	-0.942152523158447	-0.929531182355719	-0.978697092402938	-0.973528580524659	-0.955868098520462	-0.949601613473977	-0.971090423866737	-0.970947966726128	-0.94790849906086	-0.93063670339979	-0.974885979685205	-0.973461064197272	"STANDING"
"36"	-0.941110656500514	-0.932160020511831	-0.941110656500514	-0.932160020511831	-0.97920875497428	-0.974240573559671	-0.938435972026749	-0.940596109587449	-0.982726626075103	-0.976754966054527	-0.94767271172428	-0.934916672889661	-0.974300115365226	-0.97318339962963	-0.95485445779321	-0.942115714415638	-0.977968240452675	-0.976648216795267	"LAYING"
